portfolio,trade id,product,side,created at,size,size unit,price,fee,total,price/fee/total unit
default,1938129,GRT-EUR,SELL,2021-03-28T23:47:03.963Z,15,GRT,1.54,0.1155,22.9845,EUR
default,1938133,GRT-EUR,SELL,2021-03-28T23:47:03.963Z,45,GRT,1.54,0.3465,68.9535,EUR
default,1941277,GRT-EUR,BUY,2021-03-29T11:05:37.197Z,19.41,GRT,1.48,0.143634,-28.870434,EUR
default,1941278,GRT-EUR,BUY,2021-03-29T11:05:55.035Z,0.59,GRT,1.48,0.004366,-0.877566,EUR
default,1943825,GRT-EUR,SELL,2021-03-29T18:53:41.929Z,20,GRT,1.55,0.155,30.845,EUR
default,1948603,GRT-EUR,BUY,2021-03-30T10:34:11.676Z,20,GRT,1.54,0.154,-30.954,EUR
default,1950413,GRT-EUR,BUY,2021-03-30T14:09:58.461Z,30,GRT,1.51,0.2265,-45.5265,EUR
default,1953757,GRT-EUR,BUY,2021-03-31T03:37:32.651Z,20,GRT,1.46,0.146,-29.346,EUR
default,1954750,GRT-EUR,BUY,2021-03-31T08:02:59.577Z,30,GRT,1.43,0.2145,-43.1145,EUR
default,1954988,GRT-EUR,BUY,2021-03-31T08:06:47.874Z,20,GRT,1.41,0.141,-28.341,EUR
default,1961477,GRT-EUR,SELL,2021-04-01T16:52:17.970Z,20,GRT,1.55,0.155,30.845,EUR
default,1964790,GRT-EUR,SELL,2021-04-02T08:55:32.786Z,30,GRT,1.61,0.2415,48.0585,EUR
default,1966313,GRT-EUR,SELL,2021-04-02T11:59:09.426Z,20,GRT,1.65,0.165,32.835,EUR
default,1971331,GRT-EUR,BUY,2021-04-03T15:30:59.229Z,20,GRT,1.55,0.155,-31.155,EUR
default,1972448,GRT-EUR,BUY,2021-04-03T17:22:35.507Z,20,GRT,1.49,0.149,-29.949,EUR
default,1974207,GRT-EUR,BUY,2021-04-03T22:03:59.262Z,20,GRT,1.44,0.144,-28.944,EUR
default,1975399,GRT-EUR,SELL,2021-04-04T03:55:18.187Z,20,GRT,1.51,0.151,30.049,EUR
default,1980988,GRT-EUR,SELL,2021-04-05T14:34:22.861Z,20,GRT,1.56,0.156,31.044,EUR
default,1989309,GRT-EUR,BUY,2021-04-07T08:01:03.409Z,20,GRT,1.45,0.145,-29.145,EUR
default,1989693,GRT-EUR,BUY,2021-04-07T09:13:49.240Z,19.83,GRT,1.42,0.140793,-28.299393,EUR
default,1989694,GRT-EUR,BUY,2021-04-07T09:13:49.429Z,0.17,GRT,1.42,0.001207,-0.242607,EUR
default,1990422,GRT-EUR,BUY,2021-04-07T10:58:35.730Z,20,GRT,1.38,0.138,-27.738,EUR
default,1990920,GRT-EUR,BUY,2021-04-07T11:26:16.902Z,20,GRT,1.35,0.135,-27.135,EUR
